Location,Date,Time,Temp_Celsius,Ext_Dist_cm,Start_Dist_cm,FID_cm,num_urchin,cont_or_iso,Proportion_coral_cover,coral_cover_numerator,percent_coral_cover,rugosity_1_cm,rugosity_2_cm,rugosity_3_cm,rugosity_4_cm,rugosity_sum_cm,fish_size_in,fish_size_cm,urchin_density
Maharepa,1/22/2020,15:20,32.5,145,215,70,3,Continuous,71/81,71,87.7,20,76,100,52,248,3.5,8.9,3.420752566
Maharepa,1/22/2020,15:30,31,150,216,66,5,Continuous,57/81,57,70.4,17,50,100,70,237,3,7.6,7.102272727
Maharepa,1/22/2020,15:41,31,193,250,57,11,Continuous,81/81,81,100,100,100,100,80,380,3.5,8.9,11
Maharepa,1/22/2020,15:52,31,166,212,46,3,Continuous,63/81,63,77.8,100,100,93,100,393,3.5,8.9,3.856041131
Maharepa,1/24/2020,7:18,29,137,264,127,6,Continuous,60/81,60,74.1,62,75,100,100,337,4,10.2,8.097165992
Maharepa,1/24/2020,7:26,29,160,257,97,6,Continuous,70/81,70,86.4,37,90,39,100,266,3,7.6,6.944444444
Maharepa,1/24/2020,7:35,29,143,208,65,6,Continuous,76/81,76,93.8,100,100,45,100,345,3.5,8.9,6.396588486
Maharepa,1/24/2020,7:43,29,185,214,29,14,Continuous,64/81,64,79,53,100,100,100,353,4,10.2,17.72151899
Maharepa,1/24/2020,7:49,29,172,223,51,7,Continuous,66/81,66,81.5,55,100,100,100,355,4.5,11.4,8.588957055
Maharepa,1/24/2020,7:55,29,116,238,122,20,Continuous,74/81,74,91.4,70,100,100,100,370,4,10.2,21.88183807
Maharepa,1/24/2020,8:08,29,159,223,64,8,Continuous,62/81,62,76.5,39,52,75,33,199,3,7.6,10.45751634
Maharepa,1/24/2020,8:23,29,182,253,71,10,Continuous,57/81,57,70.4,0,100,100,100,300,4,10.2,14.20454545
Maharepa,1/24/2020,8:32,29,168,232,64,13,Continuous,66/81,66,81.5,68,100,100,100,368,3.5,8.9,15.95092025
Maharepa,1/24/2020,8:46,29.5,129,239,110,16,Continuous,49/81,49,60.5,56,100,100,100,356,3.5,8.9,26.44628099
Maharepa,1/24/2020,8:51,29.5,192,230,38,23,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,23
Maharepa,1/24/2020,8:55,29.5,177,230,53,30,Continuous,81/81,81,100,100,100,100,100,400,3.5,8.9,30
Maharepa,1/24/2020,9:05,29.8,135,232,97,3,Continuous,69/81,69,85.2,46,100,100,100,346,4,10.2,3.521126761
Maharepa,1/24/2020,9:15,29,164,229,65,26,Continuous,77/81,77,95.1,100,100,100,100,400,4,10.2,27.33964248
Maharepa,1/24/2020,9:49,30,151,211,60,7,Continuous,81/81,81,100,100,100,100,100,400,3.5,8.9,7
Maharepa,1/24/2020,9:58,30,170,209,39,1,Continuous,81/81,81,100,100,100,100,100,400,3.5,8.9,1
Maharepa,1/24/2020,10:00,30,186,236,50,5,Continuous,81/81,81,100,100,100,100,100,400,3.5,8.9,5
Maharepa,1/24/2020,10:10,29.8,182,232,50,17,Continuous,74/81,74,91.4,36,34,100,100,270,3.5,8.9,18.59956236
Gump Reef,1/24/2020,15:05,31,175,249,74,7,Continuous,55/81,55,67.9,57,14,100,47,218,4,10.2,10.30927835
Gump Reef,1/24/2020,15:25,30,177,252,75,4,Continuous,67/81,67,82.7,66,100,100,84,350,4,10.2,4.836759371
Gump Reef,1/24/2020,15:37,30,169,238,69,1,Continuous,76/81,76,93.8,61,97,100,100,358,3.5,8.9,1.066098081
Gump Reef,1/26/2020,8:19,30,171,235,64,18,Continuous,78/81,78,96.3,89,100,100,100,389,4,10.2,18.69158879
Gump Reef,1/26/2020,8:23,30,190,239,49,4,Continuous,64/81,64,79,88,100,100,100,388,2,5.1,5.063291139
Gump Reef,1/26/2020,8:33,30,187,251,64,1,Continuous,67/81,67,82.7,82,100,100,100,382,4,10.2,1.209189843
Gump Reef,1/26/2020,8:55,30,149,246,97,18,Continuous,70/81,70,86.4,100,100,100,100,400,4,10.2,20.83333333
Gump Reef,1/26/2020,9:03,30,160,202,42,29,Continuous,81/81,81,100,100,100,100,100,400,2,5.1,29
Gump Reef,1/26/2020,9:19,30,146,216,70,5,Continuous,70/81,70,86.4,34,100,100,100,334,4,10.2,5.787037037
Gump Reef,1/26/2020,9:32,30,165,210,45,4,Continuous,57/81,57,70.4,0,0,0,56,56,4.5,11.4,5.681818182
Gump Reef,1/26/2020,9:38,30,138,204,66,13,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,13
Gump Reef,1/26/2020,9:49,30,189,242,53,5,Continuous,55/81,55,67.9,0,0,0,100,100,5,12.7,7.36377025
Gump Reef,1/26/2020,15:14,31,142,214,72,8,Continuous,51/81,51,63,0,100,96,67,263,4,10.2,12.6984127
Gump Reef,1/26/2020,17:02,30,161,209,48,13,Continuous,79/81,79,97.5,100,100,100,93,393,4,10.2,13.33333333
Gump Reef,1/28/2020,8:26,30,161,247,86,17,Continuous,77/81,77,95.1,100,46,100,81,327,4,10.2,17.87592008
Gump Reef,1/28/2020,8:36,30.5,183,232,49,6,Continuous,77/81,77,95.1,84,85,100,0,269,4,10.2,6.309148265
Gump Reef,1/28/2020,8:48,30.5,189,253,64,17,Continuous,64/81,64,79,0,100,100,100,300,5,12.7,21.51898734
Gump Reef,1/28/2020,8:59,30.5,190,256,66,3,Continuous,77/81,77,95.1,100,0,100,100,300,5,12.7,3.154574132
Gump Reef,1/28/2020,9:10,30.5,134,224,90,4,Continuous,41/81,41,50.6,55,30,38,100,223,5,12.7,7.90513834
Gump Reef,1/28/2020,9:17,31,191,239,48,5,Continuous,22/81,22,27.2,64,54,88,100,306,3.5,8.9,18.38235294
Gump Reef,1/28/2020,9:26,31,150,238,88,3,Continuous,78/81,78,96.3,100,100,100,100,400,4.5,11.4,3.115264798
Gump Reef,1/28/2020,9:40,30.5,167,208,41,11,Continuous,76/81,76,93.8,43,100,100,100,343,4,10.2,11.72707889
Gump Reef,1/28/2020,9:48,31,121,213,92,12,Continuous,81/81,81,100,100,100,100,100,400,4.5,11.4,12
Gump Reef,1/28/2020,9:54,31,146,246,100,16,Continuous,79/81,79,97.5,100,100,100,100,400,4,10.2,16.41025641
Gump Reef,1/28/2020,10:05,31,157,210,53,2,Continuous,68/81,68,84,57,94,97,100,348,5,12.7,2.380952381
Gump Reef,1/28/2020,10:20,31,170,216,46,8,Continuous,81/81,81,100,56,100,100,100,356,4,10.2,8
Gump Reef,1/28/2020,10:25,31,122,200,78,6,Continuous,81/81,81,100,100,100,100,100,400,4.5,11.4,6
Gump Reef,1/28/2020,10:33,31,158,235,77,5,Continuous,74/81,74,91.4,0,100,100,100,300,5,12.7,5.470459519
Gump Reef,1/28/2020,10:40,31,171,262,91,9,Continuous,68/81,68,84,58,60,48,59,225,3.5,8.9,10.71428571
Gump Reef,1/28/2020,10:53,31,133,210,77,16,Continuous,68/81,68,84,73,100,100,100,373,4.5,11.4,19.04761905
Gump Reef,1/28/2020,15:41,31,158,239,81,11,Continuous,70/81,70,86.4,33,98,100,51,282,4.5,11.4,12.73148148
Gump Reef,1/28/2020,15:59,31.5,132,210,78,3,Continuous,79/81,79,97.5,100,56,100,100,356,6,15.2,3.076923077
Gump Reef,1/28/2020,16:15,32,179,242,63,11,Continuous,78/81,78,96.3,60,100,100,74,334,4.5,11.4,11.42263759
Gump Reef,1/28/2020,16:28,31,185,250,65,13,Continuous,79/81,79,97.5,57,100,100,100,357,4,10.2,13.33333333
Gump Reef,1/28/2020,16:48,31,176,210,34,11,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,11
Sailing School,1/30/2020,7:35,30,166,236,70,14,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,14
Sailing School,1/30/2020,7:42,30,142,243,101,7,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,7
Sailing School,1/30/2020,7:48,30,140,197,57,1,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,1
Sailing School,1/30/2020,8:02,30,147,223,76,8,Continuous,79/81,79,97.5,100,100,100,100,400,4,10.2,8.205128205
Sailing School,1/30/2020,8:33,30,150,235,85,2,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,2
Sailing School,1/30/2020,8:38,30,189,265,76,4,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,4
Sailing School,1/30/2020,8:42,30,142,233,91,2,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,2
Sailing School,1/30/2020,8:49,30,179,270,91,18,Continuous,81/81,81,100,100,100,100,100,400,3.5,8.9,18
Sailing School,1/30/2020,8:52,30,175,264,89,3,Continuous,81/81,81,100,100,100,100,100,400,4,10.2,3
